Running Miller-Rabin test for K=4...
Processed up to 1000000, conflicts found: 0
Processed up to 156000000, conflicts found: 2762626
Processed up to 157000000, conflicts found: 2815686
Processed up to 158000000, conflicts found: 2868645
Processed up to 159000000, conflicts found: 2921450
Processed up to 160000000, conflicts found: 2974459
Processed up to 161000000, conflicts found: 3027513
Processed up to 162000000, conflicts found: 3080230
Processed up to 163000000, conflicts found: 3133144
Processed up to 164000000, conflicts found: 3186258
Processed up to 165000000, conflicts found: 3238983
Processed up to 166000000, conflicts found: 3291665
Processed up to 167000000, conflicts found: 3344549
Processed up to 168000000, conflicts found: 3397465
Processed up to 169000000, conflicts found: 3450214
Processed up to 170000000, conflicts found: 3503084
Processed up to 171000000, conflicts found: 3555822
Processed up to
