Running Miller-Rabin test for K=1...
Processed up to 1000000, conflicts found: 101
Processed up to 2000000, conflicts found: 129
Processed up to 3000000, conflicts found: 147
Processed up to 4000000, conflicts found: 164
Processed up to 5000000, conflicts found: 178
Processed up to 6000000, conflicts found: 187
Processed up to 7000000, conflicts found: 199
Processed up to 8000000, conflicts found: 205
Processed up to 9000000, conflicts found: 216
Processed up to 10000000, conflicts found: 222
Processed up to 11000000, conflicts found: 231
Processed up to 12000000, conflicts found: 235
Processed up to 13000000, conflicts found: 245
Processed up to 14000000, conflicts found: 255
Processed up to 15000000, conflicts found: 261
Processed up to 16000000, conflicts found: 267
Processed up to 17000000, conflicts found: 275
Processed up to 18000000, conflicts found: 277
Processed up to 19000000, conflicts found: 280
Processed up to 20000000, conflicts found: 281
Processed up to 21000000, conflicts found: 285
Processed up to 22000000, conflicts found: 287
Processed up to 23000000, conflicts found: 295
Processed up to 24000000, conflicts found: 299
Processed up to 25000000, conflicts found: 304
Processed up to 26000000, conflicts found: 310
Processed up to 27000000, conflicts found: 318
Processed up to 28000000, conflicts found: 324
Processed up to 29000000, conflicts found: 328
Processed up to 30000000, conflicts found: 331
Processed up to 31000000, conflicts found: 336
Processed up to 32000000, conflicts found: 341
Processed up to 33000000, conflicts found: 343
Processed up to 34000000, conflicts found: 347
Processed up to 35000000, conflicts found: 352
Processed up to 36000000, conflicts found: 356
Processed up to 37000000, conflicts found: 360
Processed up to 38000000, conflicts found: 363
Processed up to 39000000, conflicts found: 365
Processed up to 40000000, conflicts found: 369
Processed up to 41000000, conflicts found: 378
Processed up to 42000000, conflicts found: 380
Processed up to 43000000, conflicts found: 386
Processed up to 44000000, conflicts found: 389
Processed up to 45000000, conflicts found: 395
Processed up to 46000000, conflicts found: 399
Processed up to 47000000, conflicts found: 403
Processed up to 48000000, conflicts found: 403
Processed up to 49000000, conflicts found: 406
Processed up to 50000000, conflicts found: 408
Processed up to 51000000, conflicts found: 408
Processed up to 52000000, conflicts found: 411
Processed up to 53000000, conflicts found: 413
Processed up to 54000000, conflicts found: 417
Processed up to 55000000, conflicts found: 419
Processed up to 56000000, conflicts found: 420
Processed up to 57000000, conflicts found: 423
Processed up to 58000000, conflicts found: 428
Processed up to 59000000, conflicts found: 433
Processed up to 60000000, conflicts found: 438
Processed up to 61000000, conflicts found: 441
Processed up to 62000000, conflicts found: 447
Processed up to 63000000, conflicts found: 448
Processed up to 64000000, conflicts found: 456
Processed up to 65000000, conflicts found: 460
Processed up to 66000000, conflicts found: 463
Processed up to 67000000, conflicts found: 465
Processed up to 68000000, conflicts found: 466
Processed up to 69000000, conflicts found: 469
Processed up to 70000000, conflicts found: 470
Processed up to 71000000, conflicts found: 471
Processed up to 72000000, conflicts found: 472
Processed up to 73000000, conflicts found: 475
Processed up to 74000000, conflicts found: 476
Processed up to 75000000, conflicts found: 476
Processed up to 76000000, conflicts found: 480
Processed up to 77000000, conflicts found: 483
Processed up to 78000000, conflicts found: 487
Processed up to 79000000, conflicts found: 492
Processed up to 80000000, conflicts found: 494
Processed up to 81000000, conflicts found: 497
Processed up to 82000000, conflicts found: 498
Processed up to 83000000, conflicts found: 499
Processed up to 84000000, conflicts found: 500
Processed up to 85000000, conflicts found: 500
Processed up to 86000000, conflicts found: 501
Processed up to 87000000, conflicts found: 506
Processed up to 88000000, conflicts found: 507
Processed up to 89000000, conflicts found: 509
Processed up to 90000000, conflicts found: 511
Processed up to 91000000, conflicts found: 514
Processed up to 92000000, conflicts found: 514
Processed up to 93000000, conflicts found: 514
Processed up to 94000000, conflicts found: 516
Processed up to 95000000, conflicts found: 517
Processed up to 96000000, conflicts found: 517
Processed up to 97000000, conflicts found: 518
Processed up to 98000000, conflicts found: 522
Processed up to 99000000, conflicts found: 524
Processed up to 100000000, conflicts found: 524
Processed up to 101000000, conflicts found: 526
Processed up to 102000000, conflicts found: 526
Processed up to 103000000, conflicts found: 532
Processed up to 104000000, conflicts found: 533
Processed up to 105000000, conflicts found: 33229
Processed up to 106000000, conflicts found: 87302
Processed up to 107000000, conflicts found: 141365
Processed up to 108000000, conflicts found: 195504
Processed up to 109000000, conflicts found: 249721
Processed up to 110000000, conflicts found: 303853
Processed up to 111000000, conflicts found: 357788
Processed up to 112000000, conflicts found: 411606
Processed up to 113000000, conflicts found: 465612
Processed up to 114000000, conflicts found: 519406
Processed up to 115000000, conflicts found: 573207
Processed up to 116000000, conflicts found: 627123
Processed up to 117000000, conflicts found: 681008
Processed up to 118000000, conflicts found: 734781
Processed up to 119000000, conflicts found: 788463
Processed up to 120000000, conflicts found: 842217
Processed up to 121000000, conflicts found: 895842
Processed up to 122000000, conflicts found: 949613
Processed up to 123000000, conflicts found: 1003249
Processed up to 124000000, conflicts found: 1057059
Processed up to 125000000, conflicts found: 1110721
Processed up to 126000000, conflicts found: 1164393
Processed up to 127000000, conflicts found: 1218006
Processed up to 128000000, conflicts found: 1271615
Processed up to 129000000, conflicts found: 1325315
Processed up to 130000000, conflicts found: 1378772
Processed up to 131000000, conflicts found: 1432293
Processed up to 132000000, conflicts found: 1485779
Processed up to 133000000, conflicts found: 1539143
Processed up to 134000000, conflicts found: 1592527
Processed up to 135000000, conflicts found: 1646057
Processed up to 136000000, conflicts found: 1699327
Processed up to 137000000, conflicts found: 1752807
