Running Miller-Rabin test for K=2...
Processed up to 1000000, conflicts found: 3
Processed up to 2000000, conflicts found: 6
Processed up to 3000000, conflicts found: 6
Processed up to 4000000, conflicts found: 6
Processed up to 5000000, conflicts found: 8
Processed up to 6000000, conflicts found: 9
Processed up to 7000000, conflicts found: 9
Processed up to 8000000, conflicts found: 9
Processed up to 9000000, conflicts found: 11
Processed up to 10000000, conflicts found: 12
Processed up to 11000000, conflicts found: 12
Processed up to 12000000, conflicts found: 12
Processed up to 13000000, conflicts found: 12
Processed up to 14000000, conflicts found: 12
Processed up to 15000000, conflicts found: 13
Processed up to 16000000, conflicts found: 14
Processed up to 17000000, conflicts found: 14
Processed up to 18000000, conflicts found: 14
Processed up to 19000000, conflicts found: 14
Processed up to 20000000, conflicts found: 14
Processed up to 21000000, conflicts found: 15
Processed up to 22000000, conflicts found: 15
Processed up to 23000000, conflicts found: 15
Processed up to 24000000, conflicts found: 15
Processed up to 25000000, conflicts found: 15
Processed up to 26000000, conflicts found: 17
Processed up to 27000000, conflicts found: 18
Processed up to 28000000, conflicts found: 18
Processed up to 29000000, conflicts found: 18
Processed up to 30000000, conflicts found: 18
Processed up to 31000000, conflicts found: 18
Processed up to 32000000, conflicts found: 18
Processed up to 33000000, conflicts found: 18
Processed up to 34000000, conflicts found: 18
Processed up to 35000000, conflicts found: 18
Processed up to 36000000, conflicts found: 18
Processed up to 37000000, conflicts found: 18
Processed up to 38000000, conflicts found: 18
Processed up to 39000000, conflicts found: 18
Processed up to 40000000, conflicts found: 18
Processed up to 41000000, conflicts found: 21
Processed up to 42000000, conflicts found: 21
Processed up to 43000000, conflicts found: 21
Processed up to 44000000, conflicts found: 21
Processed up to 45000000, conflicts found: 21
Processed up to 46000000, conflicts found: 21
Processed up to 47000000, conflicts found: 21
Processed up to 48000000, conflicts found: 21
Processed up to 49000000, conflicts found: 21
Processed up to 50000000, conflicts found: 21
Processed up to 51000000, conflicts found: 21
Processed up to 52000000, conflicts found: 22
Processed up to 53000000, conflicts found: 22
Processed up to 54000000, conflicts found: 22
Processed up to 55000000, conflicts found: 23
Processed up to 56000000, conflicts found: 23
Processed up to 57000000, conflicts found: 23
Processed up to 58000000, conflicts found: 23
Processed up to 59000000, conflicts found: 23
Processed up to 60000000, conflicts found: 23
Processed up to 61000000, conflicts found: 23
Processed up to 62000000, conflicts found: 23
Processed up to 63000000, conflicts found: 23
Processed up to 64000000, conflicts found: 23
Processed up to 65000000, conflicts found: 23
Processed up to 66000000, conflicts found: 23
Processed up to 67000000, conflicts found: 23
Processed up to 68000000, conflicts found: 23
Processed up to 69000000, conflicts found: 23
Processed up to 70000000, conflicts found: 23
Processed up to 71000000, conflicts found: 24
Processed up to 72000000, conflicts found: 24
Processed up to 73000000, conflicts found: 24
Processed up to 74000000, conflicts found: 24
Processed up to 75000000, conflicts found: 24
